Stand	ForestType	TreeID	DBH	H	StemSection	buttH	topH	topD	buttD	KnotClusterCount	KnotClusterDistanceAverage	KnotVolume	KnotIndex	KnotSizeIndex
12	OMT	1201	46.3	28.2	2	517.9	1035.8	352.99	387	17	117	39.243	0.0711	2.3084
12	OMT	1201	46.3	28.2	3	1005.5	1523.4	284.14	357	14	140	40.739	0.1107	2.9099
12	OMT	1201	46.3	28.2	4	1434.2	1952.1	228.34	283	15	141	31.898	0.1381	2.1265
12	OMT	1202	40.7	28.3	1	0	461.2	330.28	408	13	242	10.059	0.0214	0.7738
12	OMT	1202	40.7	28.3	2	461.2	922.4	302.86	333	23	128	30.621	0.0706	1.3313
12	OMT	1202	40.7	28.3	3	982.4	1443.6	251.15	302	18	138	33.144	0.0942	1.8413
12	OMT	1202	40.7	28.3	4	1531.7	1992.9	185.25	256	20	130	26.471	0.1267	1.3236
12	OMT	1203	30.8	27.5	1	0	546.5	242.3	309	9	419	8.446	0.0266	0.9384
12	OMT	1203	30.8	27.5	2	546.5	1093	212.27	250	19	139	18.444	0.0792	0.9707
12	OMT	1203	30.8	27.5	3	1094.1	1640.6	165.22	214	15	207	13.15	0.0848	0.8767
12	OMT	1204	36.2	26.6	1	0	547	273.39	347	18	191	16.363	0.0433	0.9091
12	OMT	1204	36.2	26.6	2	547	1094	231.85	278	15	221	17.724	0.0561	1.1816
12	OMT	1204	36.2	26.6	3	1095.2	1642.2	172.43	244	13	278	16.4	0.0891	1.2615
12	OMT	1205	29.1	24	1	0	458.4	223.28	293	12	290	8.475	0.0398	0.7063
12	OMT	1205	29.1	24	2	458.4	916.8	196.25	228	12	197	8.894	0.0593	0.7412
12	OMT	1205	29.1	24	3	887.1	1345.5	156.27	205	16	221	10.676	0.0779	0.6673
12	OMT	1206	32.7	25.9	1	0	550.4	262.02	325	9	314	4.946	0.0136	0.5496
12	OMT	1206	32.7	25.9	2	550.4	1100.8	222.78	264	17	151	16.625	0.0632	0.9779
12	OMT	1206	32.7	25.9	3	1102.5	1652.9	166.51	227	21	163	17.136	0.1008	0.816
12	OMT	1207	31	24.8	1	0	489.8	237.31	265	18	192	10.521	0.0424	0.5845
12	OMT	1207	31	24.8	2	489.8	979.6	204.16	238	16	225	13.897	0.0681	0.8686
12	OMT	1207	31	24.8	3	1010.5	1500.3	149.9	201	18	202	10.457	0.0742	0.5809
12	OMT	1208	34.5	27.1	1	0	548.7	265.71	364	18	180	11.384	0.0314	0.6324
12	OMT	1208	34.5	27.1	2	548.7	1097.4	244.05	269	8	310	7.417	0.0321	0.9271
12	OMT	1208	34.5	27.1	3	979	1527.7	216.37	247	11	215	7.87	0.0425	0.7155
12	OMT	1208	34.5	27.1	4	1407.7	1956.4	166.07	213	10	282	10.207	0.069	1.0207
12	OMT	1209	31.1	24.5	1	0	430.3	269.11	331	9	150	5.975	0.0216	0.6639
12	OMT	1209	31.1	24.5	2	430.3	860.6	238.03	271	11	252	8.37	0.0375	0.7609
12	OMT	1209	31.1	24.5	3	860.1	1290.4	180.57	241	15	248	11.285	0.0567	0.7523
12	OMT	1210	25	23.9	1	0	429.8	212.37	269	13	205	5.615	0.0326	0.4319
12	OMT	1210	25	23.9	2	429.8	859.6	186.47	213	8	325	5.794	0.0426	0.7243
12	OMT	1210	25	23.9	3	859.6	1289.4	152.88	189	8	392	4.649	0.0479	0.5811
12	OMT	1211	28.2	26.7	1	0	428.7	229.39	302	10	279	4.607	0.0218	0.4607
12	OMT	1211	28.2	26.7	2	428.7	857.4	209.13	243	12	293	7.922	0.0377	0.6602
12	OMT	1211	28.2	26.7	3	918	1346.7	204.26	231	11	294	6.324	0.0319	0.5749
12	OMT	1211	28.2	26.7	4	1437.6	1866.3	158.68	204	8	396	4.907	0.0332	0.6134
12	OMT	1213	21.4	21.5	1	0	549.3	170.52	221	13	309	4.401	0.0291	0.3385
12	OMT	1213	21.4	21.5	2	549.3	1098.6	158.05	202	10	422	3.631	0.0265	0.3631
12	OMT	1214	28.8	25.6	1	0	516.7	229.14	268	13	243	9.11	0.0369	0.7008
12	OMT	1214	28.8	25.6	2	516.7	1033.4	208.82	230	9	346	8.591	0.0488	0.9546
12	OMT	1214	28.8	25.6	3	975.7	1492.4	167.5	215	10	410	7.072	0.045	0.7072
12	OMT	1215	39	27.3	1	0	458.4	327.96	380	14	142	15.025	0.0332	1.0732
12	OMT	1215	39	27.3	2	458.4	916.8	288.01	334	19	118	15.966	0.0446	0.8403
12	OMT	1215	39	27.3	3	916.2	1374.6	232.59	292	16	124	17.315	0.0666	1.0822
12	OMT	1215	39	27.3	4	1374.6	1833	164.34	236	13	226	10.865	0.072	0.8358
12	OMT	1216	28.7	25.5	1	0	548.7	238.84	267	15	137	8.451	0.0305	0.5634
12	OMT	1216	28.7	25.5	2	548.7	1097.4	200.14	242	9	400	8.118	0.0392	0.902
12	OMT	1216	28.7	25.5	3	1070.5	1619.2	148.06	204	9	332	10.429	0.0815	1.1588
12	OMT	1217	25.7	24.4	1	0	429.8	213.59	244	14	186	5.505	0.0302	0.3932
12	OMT	1217	25.7	24.4	2	429.8	859.6	194.01	214	8	382	4.676	0.0334	0.5845
12	OMT	1217	25.7	24.4	3	857.3	1287.1	156.13	196	7	470	4.982	0.0402	0.7117
12	OMT	1218	30.6	23.8	2	550	1098.7	146.74	208	16	212	10.786	0.0719	0.6741
12	OMT	1219	29.5	25.1	1	0	427.5	234.17	296	10	267	9.02	0.0385	0.902
12	OMT	1220	27.2	25.6	1	0	459	214.75	286	7	374	4.668	0.0224	0.6669
